epoch,loss,lr,val_loss
0,0.944063470998,0.001,0.300112187862
1,0.210141024458,0.001,0.249888317453
2,0.132990319794,0.001,0.159849330783
3,0.0990596159336,0.001,0.10608773513
4,0.102249821665,0.001,0.122564959857
5,0.0891126457157,0.001,0.0558544298013
6,0.0733613278888,0.001,0.10555768013
7,0.0856521219835,0.001,0.0603442192078
8,0.0745370554815,0.001,0.0672615646488
9,0.0685879221066,0.001,0.0489399917424
10,0.0664711110636,0.001,0.0499711011847
11,0.073481266515,0.001,0.0552022701336
12,0.0621506985311,0.001,0.0566847614116
13,0.0572822510239,0.001,0.0388027586871
14,0.0587863430996,0.001,0.0575380126635
15,0.0626088074588,0.001,0.0418735767404
16,0.0572962978291,0.001,0.0346294550432
17,0.0579306068018,0.001,0.0381327362524
18,0.0547562452768,0.001,0.0430042727126
19,0.0526692350523,0.001,0.0440088866485
20,0.0602352422312,0.001,0.0428205935491
21,0.0511815634753,0.001,0.0367045207984
22,0.0503538231784,0.001,0.0354484435585
23,0.0519672983557,0.0009,0.0380536673798
24,0.0549955120601,0.0009,0.0325386613193
25,0.0570165744957,0.0009,0.0279854117996
26,0.0505556995305,0.0009,0.0320629487849
27,0.0483092141739,0.0009,0.0354225966665
28,0.0481915845783,0.0009,0.0253145386361
29,0.051004334669,0.0009,0.0384138888783
